company_name,industry,phone,address,city,email,revenue,id,score,insights
"Evans, Systems",Hospitality,581-268-4411,3035 Pine Rd,San Francisco,"info@evans,systems.hotmail.com",819332,20,0.0,"hospitality in the Encyclopédie is the virtue of a great soul that cares for the whole universe through the ties of humanity . hospitality plays a role in augmenting or decreasing the volume of sales of an organization . hospes is formed from hostis, which means ""stranger"" or ""enemy"""
"Williams, Corp",Healthcare,295-937-7630,9990 Oak Ave,Miami,"info@williams,corp.gmail.com",1690442,21,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
"Gilbert, Group",Education,287-911-6466,7494 Oak Ave,Miami,"info@gilbert,group.yahoo.com",9332593,22,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Brown Inc,Real Estate,834-162-4850,9054 Oak Ave,Miami,info@browninc.yahoo.com,3778401,23,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
Randall Inc,Retail,748-461-7754,9255 Main St,Seattle,info@randallinc.gmail.com,5413244,24,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Sawyer Group,Education,558-320-2790,2903 Sunset Blvd,San Francisco,info@sawyergroup.yahoo.com,3368629,25,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Graham Partners,Real Estate,719-692-9204,1323 Sunset Blvd,Seattle,info@grahampartners.yahoo.com,2484196,26,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
"Schneider, Partners",Retail,318-270-4831,4895 Broadway,Chicago,"info@schneider,partners.gmail.com",5277475,27,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Sloan-Barrett Partners,Technology,268-101-4593,7572 Pine Rd,Houston,info@sloan-barrettpartners.hotmail.com,8334174,28,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
"Waller, LLC",Education,242-414-9856,8448 Oak Ave,New York,"info@waller,llc.gmail.com",7994431,29,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Murphy-Smith Corp,Finance,293-933-7023,4582 Broadway,San Francisco,info@murphy-smithcorp.gmail.com,2307643,30,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Davis-Carroll Corp,Education,427-104-3340,3012 Lakeshore Dr,Seattle,info@davis-carrollcorp.gmail.com,2290652,31,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
"Robinson, LLC",Hospitality,827-750-7210,300 Oak Ave,San Francisco,"info@robinson,llc.hotmail.com",1412325,32,0.0,"hospitality in the Encyclopédie is the virtue of a great soul that cares for the whole universe through the ties of humanity . hospitality plays a role in augmenting or decreasing the volume of sales of an organization . hospes is formed from hostis, which means ""stranger"" or ""enemy"""
Garcia-Anderson Inc,Healthcare,755-201-5079,130 Pine Rd,Seattle,info@garcia-andersoninc.yahoo.com,1144260,33,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
Yates-Rice Partners,Healthcare,505-284-4139,4819 Broadway,Seattle,info@yates-ricepartners.hotmail.com,6097476,34,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
Gill Inc,Retail,979-383-1191,2137 Lakeshore Dr,San Francisco,info@gillinc.yahoo.com,8247056,35,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
"Fox, Corp",Construction,579-527-4017,6324 Broadway,Los Angeles,"info@fox,corp.gmail.com",8496835,36,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Thomas-Perry Systems,Technology,918-200-7398,2520 Broadway,Miami,info@thomas-perrysystems.gmail.com,7535974,37,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Montes-Hill LLC,Real Estate,554-182-9516,1141 Main St,Houston,info@montes-hillllc.yahoo.com,1353421,38,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
Lewis Corp,Real Estate,342-937-7708,8352 Pine Rd,Miami,info@lewiscorp.gmail.com,5897750,39,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
Garcia LLC,Finance,608-379-3917,170 Broadway,Los Angeles,info@garciallc.yahoo.com,4269427,40,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Benjamin Co,Real Estate,955-201-3579,5496 Oak Ave,Seattle,info@benjaminco.gmail.com,2197173,41,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
Austin-Hill Systems,Technology,598-899-7102,5947 Pine Rd,Chicago,info@austin-hillsystems.yahoo.com,929505,42,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
"Wagner, Co",Construction,976-590-6190,4616 Oak Ave,San Francisco,"info@wagner,co.hotmail.com",128255,43,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Acosta-Garner Group,Finance,669-690-1529,8983 Pine Rd,Seattle,info@acosta-garnergroup.gmail.com,8646157,44,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Kelley-Williams Systems,Technology,446-709-8006,495 Oak Ave,Los Angeles,info@kelley-williamssystems.yahoo.com,7842770,45,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
House-Nelson Systems,Technology,705-499-2907,4102 Broadway,Seattle,info@house-nelsonsystems.yahoo.com,170956,46,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Lopez Corp,Construction,585-252-6653,962 5th Ave,Boston,info@lopezcorp.yahoo.com,9042628,47,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Rice-Williams Co,Retail,296-934-8036,8339 Oak Ave,Miami,info@rice-williamsco.hotmail.com,4107768,48,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Walker-Ellis Co,Retail,492-145-4137,8227 Market St,New York,info@walker-ellisco.yahoo.com,4150121,49,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Young Corp,Retail,642-874-7486,5458 5th Ave,Seattle,info@youngcorp.hotmail.com,3911522,50,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Jackson-Harrell Co,Technology,257-689-4584,2077 Pine Rd,Boston,info@jackson-harrellco.yahoo.com,9325973,51,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
"Wilson, Co",Real Estate,739-703-7077,2206 Market St,Los Angeles,"info@wilson,co.gmail.com",8223680,52,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
"Reed, Group",Technology,533-820-1738,463 5th Ave,Los Angeles,"info@reed,group.hotmail.com",1010380,53,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Sanchez Systems,Education,683-589-2194,1238 Broadway,San Francisco,info@sanchezsystems.hotmail.com,5397963,54,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Compton Group,Finance,977-470-3679,1293 Market St,Miami,info@comptongroup.hotmail.com,1466011,55,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Ayala-Smith Partners,Technology,529-670-2339,8190 5th Ave,Boston,info@ayala-smithpartners.gmail.com,7986492,56,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Thomas Partners,Finance,634-149-6538,5418 Broadway,Miami,info@thomaspartners.hotmail.com,6039944,57,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
"Welch, Solutions",Healthcare,479-272-4656,8265 Main St,Los Angeles,"info@welch,solutions.hotmail.com",705666,58,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
Palmer-Klein LLC,Education,883-803-4862,9994 Market St,Houston,info@palmer-kleinllc.gmail.com,2080633,59,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Ho Partners,Real Estate,650-566-6060,6985 Lakeshore Dr,Los Angeles,info@hopartners.yahoo.com,3376010,60,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
Walker Group,Education,824-360-7113,3606 Sunset Blvd,Boston,info@walkergroup.gmail.com,9183843,61,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
"Thompson, Solutions",Education,574-489-4969,1823 Main St,Boston,"info@thompson,solutions.gmail.com",3199192,62,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Brown-Anderson Inc,Retail,994-623-9168,2451 Main St,Miami,info@brown-andersoninc.yahoo.com,9913063,63,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
"Adams, LLC",Construction,844-823-3652,4320 Broadway,San Francisco,"info@adams,llc.yahoo.com",4788308,64,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Snyder-Hughes Systems,Construction,806-819-4986,8062 Market St,Chicago,info@snyder-hughessystems.hotmail.com,7567698,65,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Allen-Cole Group,Education,946-431-8014,7821 Broadway,Seattle,info@allen-colegroup.gmail.com,4689447,66,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Dixon LLC,Education,407-775-5536,3973 Pine Rd,Chicago,info@dixonllc.gmail.com,8622023,67,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
"Arias, Solutions",Real Estate,895-885-2178,2270 Lakeshore Dr,Miami,"info@arias,solutions.hotmail.com",8801256,68,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
"Fitzgerald, Group",Finance,665-734-5910,2389 Sunset Blvd,Los Angeles,"info@fitzgerald,group.yahoo.com",1120184,69,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
"Cox, Inc",Finance,200-719-8270,622 Oak Ave,Los Angeles,"info@cox,inc.gmail.com",6869926,70,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Sanford Inc,Education,486-717-7920,705 Broadway,Seattle,info@sanfordinc.yahoo.com,6192316,71,0.0,"formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education . the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena ."
Shaw-Miller Solutions,Real Estate,457-555-9540,3079 Lakeshore Dr,Chicago,info@shaw-millersolutions.hotmail.com,3832500,72,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
Harding-Elliott Inc,Hospitality,542-223-6833,5321 Lakeshore Dr,Los Angeles,info@harding-elliottinc.gmail.com,3697102,73,0.0,"hospitality in the Encyclopédie is the virtue of a great soul that cares for the whole universe through the ties of humanity . hospitality plays a role in augmenting or decreasing the volume of sales of an organization . hospes is formed from hostis, which means ""stranger"" or ""enemy"""
"Mills, Partners",Finance,754-357-1891,8961 Market St,San Francisco,"info@mills,partners.hotmail.com",5077281,74,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
"Jackson, Partners",Finance,499-562-6532,8810 Broadway,Chicago,"info@jackson,partners.hotmail.com",916887,75,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Moore Group,Healthcare,881-704-6567,2612 Main St,San Francisco,info@mooregroup.yahoo.com,1529510,76,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
Horn Partners,Construction,756-764-2623,7017 Broadway,Los Angeles,info@hornpartners.gmail.com,463786,77,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Schultz-Collier LLC,Finance,437-617-9841,9788 Sunset Blvd,Seattle,info@schultz-collierllc.yahoo.com,7656495,78,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Taylor Solutions,Healthcare,335-142-9391,679 Lakeshore Dr,Boston,info@taylorsolutions.hotmail.com,2442112,79,0.0,"health care is the improvement or maintenance of health through prevention, diagnosis, treatment, amelioration or cure of disease, illness, injury, and other physical and mental impairments in people . access to health care may vary across countries, communities, and individuals . factors to consider in terms of health care access include financial limitations, geographical and l..."
"Barnes, Co",Real Estate,857-215-5155,347 Main St,Seattle,"info@barnes,co.yahoo.com",4239201,80,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
Taylor-Banks Solutions,Technology,910-196-3969,3234 Sunset Blvd,Los Angeles,info@taylor-bankssolutions.yahoo.com,7677579,81,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Brown-Livingston Group,Construction,379-923-8519,6288 Sunset Blvd,New York,info@brown-livingstongroup.gmail.com,7246003,82,0.0,"construction industry contributes significantly to many countries' gross domestic products (GDP) in 2022, expenditure on construction industry exceeded $11 trillion a year, equivalent to about 13 percent of global GDP ."
Berry Inc,Retail,214-510-7387,4656 5th Ave,Boston,info@berryinc.gmail.com,9935586,83,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Terrell-Allen Inc,Real Estate,253-785-9005,1369 Oak Ave,San Francisco,info@terrell-alleninc.hotmail.com,6797749,84,0.0,"real estate is a property consisting of land and the buildings on it, along with its natural resources such as growing crops (e.g. timber), minerals or water, and wild animals . in terms of law, real relates to land property and is different from personal property, while estate means the ""interest"" a person has in that land property, such as vehicles, boats, jewelry, furniture, tools, and rolling stock of a farm ."
Rojas-Williamson Solutions,Finance,509-596-4644,2372 Broadway,New York,info@rojas-williamsonsolutions.hotmail.com,8177307,85,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
"Swanson, Solutions",Technology,633-516-5460,9725 Pine Rd,Boston,"info@swanson,solutions.gmail.com",7810129,86,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Parker-Moreno Corp,Finance,314-573-9634,5070 Main St,Seattle,info@parker-morenocorp.gmail.com,8704833,87,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Mcdonald Systems,Hospitality,303-187-8855,5602 5th Ave,Miami,info@mcdonaldsystems.yahoo.com,4684466,88,0.0,"hospitality in the Encyclopédie is the virtue of a great soul that cares for the whole universe through the ties of humanity . hospitality plays a role in augmenting or decreasing the volume of sales of an organization . hospes is formed from hostis, which means ""stranger"" or ""enemy"""
Gallagher Corp,Finance,722-232-6524,2426 Lakeshore Dr,Boston,info@gallaghercorp.yahoo.com,8638213,89,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Fitzpatrick Systems,Technology,602-214-9434,998 Lakeshore Dr,San Francisco,info@fitzpatricksystems.gmail.com,9556425,90,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Rivera-Mclean Inc,Retail,319-557-6809,6412 Oak Ave,Houston,info@rivera-mcleaninc.hotmail.com,4526160,91,0.0,"retailers are the final link in the supply chain from producers to consumers . retail markets and shops have a long history, dating back to antiquity . some of the earliest retailers were itinerant peddlers ."
Price-Haley LLC,Technology,725-197-3131,7092 Oak Ave,Seattle,info@price-haleyllc.hotmail.com,9895362,92,0.0,"technology is the application of conceptual knowledge to achieve practical goals . technology plays a critical role in science, engineering, and everyday life . technological advancements have led to significant changes in society ."
Arnold-Pena Inc,Finance,458-387-3667,6811 Lakeshore Dr,Houston,info@arnold-penainc.yahoo.com,8357280,93,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Miller LLC,Finance,875-742-7945,7304 5th Ave,Los Angeles,info@millerllc.hotmail.com,1258035,94,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
Mathews LLC,Finance,789-709-6165,5912 5th Ave,Houston,info@mathewsllc.yahoo.com,8773511,95,0.0,"finance refers to monetary resources and to the study and discipline of money, currency, assets and liabilities . the discipline can be divided into personal, corporate, and public finance . assets can also be banked, invested, and insured to maximize value ."
